NO,ProductQuality,ServiceSpeed,StaffFriendliness,ValueForMoney,OverallSatisfaction
1,8.5,7.8,9.2,7.5,8.3
2,9.1,8.6,9.5,8.2,8.9
3,7.2,,8.1,6.8,7.4
4,9.5,9.2,9.8,8.9,9.4
5,8.0,7.5,,7.8,7.9
6,8.8,8.3,9.0,8.1,8.6
7,7.6,7.2,8.4,7.0,
8,9.3,8.9,9.6,8.7,9.1
9,,6.8,7.9,6.5,7.1
10,8.4,8.0,8.8,7.9,8.3
11,9.0,8.7,9.3,8.5,8.9
12,7.8,7.4,8.6,,7.8
13,8.9,8.5,9.1,8.3,8.7
14,7.5,7.1,8.2,6.9,7.4
15,9.4,,9.7,8.8,9.2
16,8.2,7.9,8.7,7.7,8.1
17,8.7,8.4,9.2,8.0,
18,7.9,7.6,8.5,7.4,7.9
19,9.2,8.8,,8.6,8.9
20,8.6,8.2,9.0,8.1,8.5
21,7.3,6.9,8.0,6.7,7.2
22,9.6,9.3,9.9,,9.5
23,8.3,8.1,8.9,7.8,8.3
24,8.1,7.7,8.6,7.6,8.0
25,9.1,8.8,9.4,8.4,8.9
