NO,PageViews,UniqueVisitors,BounceRate,AvgSessionDuration,ConversionRate
1,1250,890,45,180,3.2
2,2100,1450,38,240,4.5
3,980,,52,150,2.8
4,3200,2100,32,310,5.6
5,1580,1120,,195,3.9
6,1890,1340,41,220,4.1
7,2450,1680,35,275,
8,1120,820,48,165,2.9
9,,1890,29,295,5.2
10,1750,1250,42,210,3.8
11,2890,1950,33,285,5.0
12,1340,980,46,,3.3
13,2150,1520,37,250,4.4
14,1680,1180,44,200,3.6
15,3450,,28,320,6.1
16,1450,1050,47,175,3.1
17,2320,1620,36,265,4.7
18,1920,1380,,230,4.0
19,2680,1850,34,280,4.9
20,1560,1140,43,190,
21,2980,2050,31,300,5.4
22,1280,920,49,160,2.7
23,2240,1580,38,,4.3
24,1820,1290,40,215,3.7
25,3120,2180,30,305,5.5
